Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Record_count
AEGCAU,pyrstötiainen,stjärtmes,Long-tailed Tit,Aegithalos caudatus,1167
EMBRUS/EMBPUS/EMBAUR,pohjansirkku / pikkusirkku / kultasirkku,videsparv / dvärgsparv / gyllensparv,Rustic / Little / Yellow-breasted Bunting,Emberiza rustica / Emberiza pusilla / Emberiza aureola,119
FALSUB,nuolihaukka,lärkfalk,Eurasian Hobby,Falco subbuteo,2049
COCCOC,nokkavarpunen,stenknäck,Hawfinch,Coccothraustes coccothraustes,859
LIMLAP,punakuiri,myrspov,Bar-tailed Godwit,Limosa lapponica,991
PHOPHO,leppälintu,rödstjärt,Common Redstart,Phoenicurus phoenicurus,1635
SYLCUR,hernekerttu,ärtsångare,Lesser Whitethroat,Sylvia curruca,4078
LANCOL,pikkulepinkäinen,törnskata,Red-backed Shrike,Lanius collurio,2187
STRDEC,turkinkyyhky,turkduva,Eurasian Collared Dove,Streptopelia decaocto,121
STRTUR,turturikyyhky,turturduva,European Turtle Dove,Streptopelia turtur,108
MOTFLA,keltavästäräkki,gulärla,Yellow Wagtail,Motacilla flava,2599
SYLATR,mustapääkerttu,svarthätta,Eurasian Blackcap,Sylvia atricapilla,2422
CAPEUR,kehrääjä,nattskärra,European Nightjar,Caprimulgus europaeus,135
LUSLUS,satakieli,näktergal,Thrush Nightingale,Luscinia luscinia,2421
PK,pieni kahlaaja,liten vadare,Unidentified small wader,PK (pieni kahlaaja),1296
STREPSP,turturikyyhkylaji,Streptopelia (släktet),Unidentified Streptopelia dove,Streptopelia sp,25
PHYSIB,sirittäjä,grönsångare,Wood Warbler,Phylloscopus sibilatrix,1077
V/K,vesilintu / kahlaaja,sjöfågel / vadare,Unidentified waterfowl / wader,V / K (vesilintu / kahlaaja),42
CUCCAN,käki,gök,Common Cuckoo,Cuculus canorus,1034
LOXCUR,pikkukäpylintu,mindre korsnäbb,Red Crossbill,Loxia curvirostra,1867
CALCAN,isosirri,kustsnäppa,Red Knot,Calidris canutus,903
